,0
0,1.026615969581749
1,1.2019704433497538
2,1.4169570267131242
3,0.8254397834912043
4,1.3438520130576714
5,1.6317016317016317
6,1.949685534591195
7,2.0917678812415654
8,2.6226734348561758
9,3.001422475106686
10,3.2954545454545454
11,2.5115473441108547
12,2.3848684210526314
13,2.34375
14,1.849662162162162
15,1.0194174757281553
16,1.135135135135135
17,1.0194174757281553
18,0.7892156862745098
19,1.0888888888888888
20,0.9684684684684685
21,0.7402073732718893
22,0.6555051078320091
23,0.6521739130434783
24,0.7709130672498633
25,0.7709130672498633
26,0.719020907700153
27,0.5160984848484849
28,0.3342490842490842
29,0.9910664433277498
30,1.146640826873385
31,0.9562043795620438
32,1.0206611570247934
33,0.818686401480111
34,0.47432550043516103
35,0.6867283950617284
36,0.8056537102473498
37,0.899643705463183
38,0.8188331627430911
39,0.5626223091976517
40,0.9081081081081082
41,0.958904109589041
42,1.2864250177683014
43,0.7363013698630136
44,1.1601186063750926
45,1.1635687732342008
46,1.2322834645669292
47,1.509046052631579
48,4.478466017468126
49,4.610852713178295
50,4.580552418112743
51,4.588090095649491
52,4.5361088379705405
53,0.44891640866873067
54,1.1466011466011465
55,1.6390041493775933
56,1.7004920049200491
57,1.5842763549731984
58,1.7854909318323953
59,1.9461486025903203
60,0.9002169197396963
61,0.8773784355179705
62,0.8915145005370569
63,0.6730769230769231
64,0.5915813424345847
65,0.5764966740576497
66,0.8088235294117647
67,0.88
68,0.5504587155963303
69,0.9923175416133163
70,1.0278514588859415
71,1.2175102599179206
72,1.1483870967741936
73,1.1483870967741936
74,0.9552845528455285
75,0.9697386519944979
76,1.0027662517289073
77,0.9415584415584416
78,1.0027662517289073
79,1.0755336617405582
80,1.1801801801801801
81,0.9799713876967096
82,1.0347432024169185
83,1.4081408140814082
84,1.400437636761488
85,1.1701030927835052
86,1.2681564245810055
87,1.4173703256936068
88,0.4377880184331797
89,0.4351145038167939
90,0.8869565217391304
91,1.191588785046729
92,1.0450819672131149
93,1.0975609756097562
94,1.1400894187779433
95,0.851063829787234
96,0.8381839348079162
97,0.8181818181818182
98,0.8
99,0.4602510460251046
100,0.6035502958579881
101,0.5874840357598978
102,0.7450738916256158
103,0.6699889258028793
104,0.6989247311827957
105,2.1145494028230183
106,2.3664980326025855
107,2.3611890072910824
108,2.387975042541123
109,2.650564617314931
110,1.0039893617021276
111,1.267409470752089
112,1.317626527050611
113,0.4642857142857143
114,0.8026030368763557
115,1.1917562724014337
116,1.1348122866894197
117,1.1271186440677967
118,0.7850609756097561
119,1.330935251798561
120,1.3883399209486167
121,1.129848229342327
122,0.9203606311044328
123,1.555239449976292
124,1.4481236203090508
125,1.4922656960873522
126,1.491587085038654
127,1.5331807780320366
128,0.9127789046653144
129,0.6196581196581197
130,0.6045589692765114
131,0.5129650507328072
132,0.4974160206718346
133,0.2695035460992908
134,0.19452449567723343
135,1.3076923076923077
136,1.3048245614035088
137,1.2405609492988134
138,1.085686465433301
139,0.9937611408199644
140,0.5504115226337448
141,0.9875
142,0.7618283881315157
143,0.7279693486590039
144,0.7307692307692307
145,1.2671232876712328
146,1.1771300448430493
147,1.2280701754385965
148,1.1434659090909092
149,0.583756345177665
150,0.39012738853503187
151,0.23703703703703705
152,0.5073649754500819
153,0.5218855218855218
154,0.5227655986509275
155,0.6846153846153846
156,0.7212317666126418
157,0.5329153605015674
158,0.49926578560939794
159,0.5
160,0.4773462783171521
161,0.47351524879614765
162,0.3925925925925926
163,0.41297935103244837
164,0.4148148148148148
165,0.3383977900552486
166,0.5061728395061729
167,0.9431345353675451
168,3.2002314814814814
169,3.1708715596330275
170,3.299522673031026
171,3.45625
172,3.4246575342465753
173,2.2795698924731185
174,2.1414141414141414
175,2.0562560620756547
176,2.0784313725490198
177,1.727107887579329
178,1.0833333333333333
179,0.8292682926829268
180,1.1206896551724137
181,1.089385474860335
182,1.2098501070663812
183,1.236323851203501
184,1.1261261261261262
185,0.9313725490196079
186,1.0894495412844036
187,1.662125340599455
188,1.5365239294710327
189,1.2979351032448379
190,1.4647887323943662
191,1.6049382716049383
192,1.1336515513126493
193,1.2055837563451777
194,1.280323450134771
195,1.3002680965147453
196,0.8333333333333334
197,1.0344827586206897
198,1.006423982869379
199,1.0753880266075388
200,1.0874439461883407
201,1.203883495145631
202,1.1946050096339114
203,1.273100616016427
204,1.1337209302325582
205,1.118546845124283
206,0.9481037924151696
207,0.625
208,0.6414762741652021
209,0.41867954911433175
210,0.6140350877192983
211,1.1059190031152648
212,1.1287758346581875
213,1.1396468699839486
214,1.2054329371816639
215,1.0333863275039745
216,0.3248031496062992
217,0.3248031496062992
218,0.379746835443038
219,0.3082191780821918
220,0.9929078014184397
221,0.7591623036649214
222,0.7287705956907478
223,0.726010101010101
224,0.6181150550795593
225,0.7431629013079667
226,0.6921373200442967
227,0.6677350427350427
228,1.437170805116629
229,1.2464387464387465
230,1.1437908496732025
231,1.279940119760479
232,1.1206485455412494
233,1.4719358533791524
234,1.6989117291414753
235,1.8354016982364467
236,0.693359375
237,0.9415204678362573
238,1.166448230668414
239,1.18508655126498
240,0.7867647058823529
241,0.8857615894039735
242,0.8629032258064516
243,0.6471494607087828
244,0.5809128630705395
245,0.8180628272251309
246,1.0431654676258992
247,0.9494855004677268
248,0.5440414507772021
249,0.5249569707401033
250,0.7685185185185185
251,0.32274590163934425
252,0.33916849015317285
253,0.6966707768187423
254,0.9593679458239278
255,1.1280487804878048
256,1.220316622691293
257,1.3214285714285714
258,1.330935251798561
259,0.6238185255198487
260,0.5172413793103449
261,0.9647058823529412
262,1.0706401766004414
263,1.0677618069815196
264,1.172607879924953
265,1.245019920318725
266,0.6085526315789473
267,0.6357388316151202
268,0.9494640122511485
269,0.9810126582278481
270,0.8423493044822257
271,1.0575296108291032
272,1.128747795414462
273,0.6129032258064516
274,0.3002309468822171
275,0.30092592592592593
276,0.28888888888888886
277,0.36036036036036034
278,0.45253863134657835
279,0.47235023041474655
280,0.7969151670951157
281,0.7692307692307693
282,0.7328605200945626
283,0.7345971563981043
284,1.0707070707070707
285,0.9270516717325228
286,0.8997050147492626
287,0.8452380952380952
288,0.6217882836587872
289,0.6062124248496994
290,0.6597600872410033
291,0.5931372549019608
292,0.5944798301486199
293,0.5760626398210291
294,0.612668743509865
295,1.7464424320827943
296,1.678060907395898
297,1.6082410824108242
298,2.005225342913129
299,2.152875175315568
300,1.2115621156211562
301,0.6989247311827957
302,1.2213225371120109
303,1.2
304,1.2032085561497325
305,1.0844892812105926
306,1.251664447403462
307,0.4592720970537262
308,0.4600694444444444
309,0.4774774774774775
310,0.650319829424307
311,0.6746031746031746
312,0.7439824945295405
313,0.7203389830508474
314,0.7589285714285714
315,0.9722222222222222
316,1.0561497326203209
317,0.9705159705159705
318,1.5762004175365345
319,1.6520787746170678
320,1.2183235867446394
321,1.0968921389396709
322,1.5423387096774193
323,0.824468085106383
324,0.824468085106383
325,0.8267716535433071
326,3.1977401129943503
327,2.641228939544103
328,2.0901960784313727
329,1.7711267605633803
330,1.89247311827957
331,1.4695945945945945
332,1.4931350114416475
333,1.1254019292604502
334,0.6557377049180327
335,0.5845323741007195
336,1.4482306684141546
337,1.2318840579710144
338,1.1907327586206897
339,1.2291434927697442
340,1.3564131668558457
341,1.5260196905766525
342,0.8764607679465777
343,0.8974358974358975
344,1.1159420289855073
345,0.7142857142857143
346,0.7653061224489796
347,0.7361963190184049
348,0.672645739910314
349,0.6071428571428571
