Date,Open,High,Low,Close,Adj Close,Volume
2013-12-18,153.000000,155.850006,151.460007,155.009995,148.885254,682659
2013-12-19,155.000000,156.990005,153.509995,156.820007,150.623749,464753
2013-12-20,156.820007,156.850006,151.520004,152.320007,146.301544,1764348
2013-12-23,152.979996,156.009995,152.509995,155.429993,149.288666,477644
2013-12-26,154.279999,155.949997,153.009995,153.789993,147.713455,549625
2013-12-27,154.029999,155.800003,154.000000,155.509995,149.365494,463945
2013-12-30,155.600006,157.500000,154.419998,156.919998,150.719803,310666
2014-01-02,156.029999,161.490005,154.550003,157.559998,151.334503,728110
2014-01-03,157.500000,158.009995,153.509995,154.470001,148.366592,491907
2014-01-06,155.240005,155.240005,150.000000,151.190002,145.216202,673350
2014-01-07,151.039993,153.809998,151.009995,153.100006,147.050720,563617
2014-01-08,153.080002,155.800003,151.509995,155.479996,149.336685,344470
2014-01-09,155.550003,158.000000,155.550003,157.630005,151.401749,549363
2014-01-10,158.000000,165.550003,158.000000,164.960007,158.442108,911798
2014-01-13,164.960007,164.960007,161.500000,162.360001,155.944839,582852
2014-01-14,163.000000,163.050003,161.500000,162.860001,156.425079,454877
2014-01-15,164.500000,164.500000,162.020004,163.360001,156.905319,365535
2014-01-16,163.990005,163.990005,161.000000,163.339996,156.886124,264778
2014-01-17,163.899994,163.960007,161.509995,163.429993,156.972565,378287
2014-01-20,164.000000,166.000000,162.500000,165.729996,159.181686,121612
2014-01-21,165.800003,165.800003,163.509995,165.440002,158.903152,515468
2014-01-22,165.500000,165.500000,162.500000,164.220001,157.731354,501996
2014-01-23,165.899994,165.899994,161.009995,164.830002,158.317245,437972
2014-01-24,165.000000,165.500000,157.770004,161.259995,154.888290,773748
2014-01-27,161.259995,161.399994,157.000000,160.270004,153.937424,703850
2014-01-28,162.389999,164.679993,159.000000,161.210007,154.840286,376207
2014-01-29,160.000000,164.000000,156.110001,161.309998,154.936325,553291
2014-01-30,161.309998,164.000000,159.990005,163.630005,157.164673,581905
2014-01-31,164.000000,164.389999,161.500000,162.630005,156.204178,347960
2014-02-04,161.649994,164.710007,159.000000,162.050003,155.647095,491532
2014-02-05,162.539993,163.000000,160.000000,162.839996,156.405869,309676
2014-02-06,162.979996,162.979996,159.399994,160.720001,154.369644,720775
2014-02-07,161.910004,161.979996,159.600006,161.259995,154.888290,330408
2014-02-10,161.000000,163.250000,161.000000,162.479996,156.060104,346922
2014-02-11,162.699997,163.949997,162.029999,163.380005,156.924530,698289
2014-02-12,162.199997,164.320007,161.960007,163.710007,157.241501,622900
2014-02-13,163.389999,164.679993,162.000000,163.649994,157.183884,564993
2014-02-14,164.279999,170.000000,159.320007,169.250000,162.562607,1032348
2014-02-17,170.100006,174.100006,168.610001,172.990005,166.154831,168844
2014-02-18,172.119995,173.479996,169.500000,170.139999,163.417435,570684
2014-02-19,170.440002,172.990005,168.960007,171.899994,165.107880,1055542
2014-02-20,172.000000,173.000000,169.449997,171.500000,164.723694,995132
2014-02-21,170.000000,174.000000,169.600006,173.750000,166.884811,267319
2014-02-24,173.809998,177.960007,173.110001,174.660004,167.758865,740644
2014-02-25,174.500000,175.320007,171.000000,172.990005,166.154831,391728
2014-02-26,173.000000,176.000000,169.500000,173.910004,167.038483,598275
2014-02-27,173.869995,176.000000,173.389999,173.759995,166.894409,590803
2014-02-28,173.990005,174.000000,169.000000,171.000000,164.243454,1919121
2014-03-03,169.160004,171.429993,166.990005,170.350006,163.619141,603201
2014-03-04,172.000000,172.000000,169.399994,170.250000,163.523087,837318
2014-03-05,170.119995,170.199997,167.500000,168.669998,162.005524,644481
2014-03-06,168.669998,172.259995,168.669998,171.320007,164.550827,1119444
2014-03-07,171.779999,172.000000,170.000000,171.259995,164.493195,851805
2014-03-10,170.470001,174.500000,170.470001,172.929993,166.097198,739526
2014-03-11,171.000000,174.899994,171.000000,172.630005,165.809052,1058117
2014-03-12,173.000000,173.199997,172.000000,172.630005,165.809052,1309818
2014-03-13,172.250000,173.490005,170.500000,171.789993,165.002243,1191690
2014-03-14,171.000000,174.279999,171.000000,173.460007,166.606262,1365139
2014-03-18,174.320007,175.889999,174.320007,175.130005,168.210281,1169639
2014-03-19,175.130005,176.000000,173.729996,174.509995,167.614777,757588
2014-03-20,175.990005,176.179993,173.750000,175.929993,168.978668,1883329
2014-03-21,175.850006,177.919998,173.000000,174.729996,167.826065,8089147
2014-03-24,177.500000,179.550003,175.979996,177.429993,170.419388,761359
2014-03-25,178.000000,179.449997,176.500000,176.880005,169.891129,1629518
2014-03-26,177.550003,178.800003,176.000000,176.550003,169.574173,476645
2014-03-27,177.000000,177.000000,174.500000,175.000000,168.085419,803591
2014-03-28,174.119995,178.000000,174.119995,176.300003,169.334045,1533973
2014-03-31,175.800003,177.500000,174.500000,176.080002,169.122742,3584416
2014-04-01,179.990005,183.500000,176.100006,178.500000,171.447113,1292464
2014-04-02,179.000000,180.740005,177.309998,179.020004,171.946564,1184602
2014-04-03,178.740005,179.470001,176.520004,178.270004,171.226212,931726
2014-04-04,179.979996,181.690002,178.500000,180.050003,172.935867,1026960
2014-04-07,179.270004,181.910004,179.000000,180.029999,172.916672,799419
2014-04-08,180.029999,183.000000,180.009995,181.389999,174.222931,1265577
2014-04-09,183.339996,184.000000,179.350006,181.059998,173.905960,268241
2014-04-10,181.059998,183.990005,178.000000,182.029999,174.837631,1252842
2014-04-11,181.990005,181.990005,178.360001,180.899994,173.752289,459563
2014-04-14,181.000000,181.029999,178.100006,178.809998,171.744858,686701
2014-04-15,178.490005,180.000000,177.250000,179.360001,172.273132,713982
2014-04-16,180.429993,180.990005,178.539993,178.979996,171.908157,760018
2014-04-21,179.979996,180.979996,179.059998,179.580002,172.484451,155820
2014-04-22,179.800003,182.490005,179.070007,180.940002,173.790710,714259
2014-04-23,180.399994,181.300003,178.020004,178.800003,171.735275,381981
2014-04-24,178.100006,184.550003,178.100006,183.059998,175.826950,2453824
2014-04-25,183.050003,183.800003,181.399994,182.039993,174.847244,425508
2014-04-28,182.949997,183.000000,179.009995,179.699997,172.599701,250442
2014-04-29,179.699997,181.000000,179.100006,180.960007,173.809921,858900
2014-04-30,181.690002,183.000000,180.149994,182.860001,175.634842,487464
2014-05-02,179.000000,182.500000,179.000000,182.149994,174.952896,409860
2014-05-05,181.470001,182.550003,180.910004,181.850006,174.664764,188197
2014-05-06,181.000000,182.330002,181.000000,181.960007,174.770432,1493223
2014-05-07,182.000000,183.199997,181.000000,183.029999,175.798126,1027526
2014-05-08,183.899994,184.000000,182.000000,183.039993,175.807739,439391
2014-05-09,183.699997,184.500000,183.009995,183.339996,176.095871,483388
2014-05-12,184.000000,184.000000,182.289993,183.880005,176.614548,404733
2014-05-13,184.000000,185.000000,182.460007,184.490005,177.200470,379582
2014-05-14,184.490005,184.550003,179.210007,181.619995,174.443832,698706
2014-05-15,181.500000,184.000000,179.759995,180.220001,173.099167,542576
2014-05-16,180.220001,181.500000,179.440002,179.850006,172.743790,254017
2014-05-19,181.000000,181.610001,179.690002,180.039993,172.926270,510363
2014-05-20,180.039993,181.000000,179.600006,179.610001,172.513260,346612
2014-05-21,180.000000,181.889999,175.020004,177.330002,170.323349,594928
2014-05-22,176.440002,180.500000,176.440002,177.070007,170.073624,626180
