0,Open,High,Low,Close,Adj Close,Volume
2013-12-18,55.297600,55.941502,54.400002,54.809799,51.707016,2988799
2013-12-19,55.395100,55.609798,54.448799,55.121899,52.001442,2625503
2013-12-20,55.121899,55.795101,54.273201,54.614601,51.522869,8104324
2013-12-23,55.317101,55.317101,54.341499,54.380501,51.302021,2336984
2013-12-26,54.351200,55.307301,54.351200,54.546299,51.458431,2530344
2013-12-27,54.409801,55.258499,54.097599,54.224400,51.154758,3076189
2013-12-30,53.951199,54.624401,53.580502,53.639000,50.602509,2890920
2014-01-02,52.536598,53.024399,52.487801,52.585400,49.608540,3839863
2014-01-03,52.634201,52.829300,51.951199,52.058498,49.111473,3234915
2014-01-06,52.068298,52.702400,51.922001,52.146301,49.194294,2467779
2014-01-07,52.653702,52.878101,51.717098,52.478100,49.507317,2981379
2014-01-08,52.682899,53.824402,52.000000,53.648800,50.611744,3793944
2014-01-09,53.726799,53.756100,52.546299,53.170700,50.160702,6570962
2014-01-10,53.258499,53.892700,53.053699,53.736599,50.694576,5411952
2014-01-13,53.951199,54.009800,52.985401,53.092701,50.087120,1929226
2014-01-14,53.141499,53.424400,52.702400,53.170700,50.160702,2196775
2014-01-15,53.434200,53.434200,52.634201,52.790199,49.801750,2024543
2014-01-16,52.634201,52.839001,51.990200,52.321899,49.359955,2216019
2014-01-17,52.390202,52.682899,51.121899,51.268299,48.365997,3536113
2014-01-20,51.375599,52.048801,51.278000,51.658501,48.734112,1735658
2014-01-21,51.414600,51.609798,50.253700,50.438999,47.583649,6220825
2014-01-22,50.321899,50.819500,49.170700,50.497601,47.638927,5164160
2014-01-23,50.497601,51.014599,49.824402,50.107300,47.270725,3530733
2014-01-24,50.243900,50.614601,48.887798,49.160999,46.377995,6688097
2014-01-27,49.356098,49.356098,47.804901,48.234100,45.503567,8312611
2014-01-28,48.761002,48.819500,47.824402,48.253700,45.522068,4624813
2014-01-29,48.009800,48.048801,47.200001,47.385399,44.702911,6891433
2014-01-30,47.395100,48.292702,46.829300,46.917099,44.261124,11709871
2014-01-31,46.799999,46.799999,44.926800,45.307301,42.742455,11929620
2014-02-04,44.878101,45.756100,44.390202,44.722000,42.190292,4488416
2014-02-05,44.722000,46.234100,44.722000,45.502399,42.926514,5971670
2014-02-06,45.863400,46.146301,45.570702,45.687801,43.101414,7021550
2014-02-07,45.853699,46.536598,45.375599,46.331699,43.708858,5658849
2014-02-10,46.341499,46.341499,44.897598,45.024399,42.475571,3647544
2014-02-11,44.878101,46.029301,44.809799,45.795101,43.202644,6964114
2014-02-12,45.951199,47.795101,45.541500,47.609798,44.914612,11301371
2014-02-13,47.375599,47.375599,46.487801,46.887798,44.233486,8893333
2014-02-14,46.887798,47.658501,46.546299,46.887798,44.233486,4968027
2014-02-17,47.102402,47.541500,46.682899,46.799999,44.150650,934777
2014-02-18,46.595100,47.521900,46.595100,47.414600,44.730465,2678087
2014-02-19,47.258499,47.512199,45.170700,45.287800,42.724060,4195589
2014-02-20,45.414600,45.629299,44.438999,45.268299,42.705658,3295118
2014-02-21,45.024399,45.931702,45.024399,45.746300,43.156605,2915304
2014-02-24,45.853699,46.136600,45.424400,45.629299,43.046219,2950137
2014-02-25,45.726799,45.726799,43.541500,43.922001,41.435574,5425672
2014-02-26,44.195099,44.614601,41.258499,41.687801,39.327858,10478562
2014-02-27,41.697601,42.975601,41.697601,41.990200,39.613140,5560292
2014-02-28,42.146301,42.536598,41.804901,42.117100,39.732849,3421777
2014-03-03,41.873199,42.438999,41.629299,41.843899,39.475113,2543075
2014-03-04,42.156101,42.926800,41.678101,41.785400,39.419926,3656440
2014-03-05,41.785400,42.370701,40.975601,41.336601,38.996536,6686550
2014-03-06,41.541500,42.995098,41.297600,41.990200,39.613140,5533677
2014-03-07,42.019501,42.643902,41.317101,41.541500,39.189842,4190381
