Date,Open,High,Low,Close,Adj Close,Volume
2013-12-18,322.429993,330.000000,314.799988,317.250000,290.087402,365228
2013-12-19,317.000000,318.989990,306.809998,313.559998,286.713409,440453
2013-12-20,313.559998,321.329987,313.549988,319.779999,292.400818,838591
2013-12-23,321.000000,321.940002,314.899994,317.700012,290.498871,153197
2013-12-26,321.480011,323.829987,316.500000,318.890015,291.587006,81716
2013-12-27,317.059998,325.010010,317.059998,324.799988,296.991028,158491
2013-12-30,325.010010,332.000000,322.000000,330.709991,302.394989,182297
2014-01-02,332.279999,332.290009,324.170013,328.369995,300.255341,97488
2014-01-03,330.000000,331.970001,325.070007,327.519989,299.478119,75455
2014-01-06,327.519989,332.000000,324.299988,328.100006,300.008514,171197
2014-01-07,328.100006,332.000000,321.820007,326.809998,298.828918,168241
2014-01-08,322.540009,326.500000,317.109985,319.950012,292.556335,187519
2014-01-09,320.000000,324.149994,315.000000,319.250000,291.916199,298541
2014-01-10,318.450012,331.000000,318.230011,330.809998,302.486420,220787
2014-01-13,329.250000,331.809998,322.549988,331.390015,303.016815,123438
2014-01-14,327.000000,332.500000,326.010010,330.529999,302.230408,111692
2014-01-15,327.510010,330.540009,327.510010,328.899994,300.739990,95281
2014-01-16,327.500000,332.000000,325.000000,327.290009,299.267853,117748
2014-01-17,331.899994,332.000000,327.010010,331.820007,303.409973,169835
2014-01-20,331.820007,339.000000,327.510010,332.790009,304.296906,57600
2014-01-21,330.010010,337.100006,330.010010,333.059998,304.543793,156560
2014-01-22,335.000000,335.679993,329.000000,332.209991,303.766602,171839
2014-01-23,330.500000,336.899994,321.429993,323.290009,295.610321,333823
2014-01-24,323.890015,333.000000,301.040009,307.029999,280.742462,386730
2014-01-27,308.559998,314.470001,303.049988,311.859985,285.158905,179955
2014-01-28,311.899994,314.820007,305.000000,306.209991,279.992645,168290
2014-01-29,309.000000,310.440002,305.329987,306.140015,279.928650,219301
2014-01-30,308.000000,308.000000,301.500000,306.540009,280.294403,97068
2014-01-31,305.809998,314.989990,303.010010,313.149994,286.338470,281550
2014-02-04,313.000000,318.459991,306.140015,311.320007,284.665161,154796
2014-02-05,312.380005,317.899994,311.480011,314.929993,287.966095,167755
2014-02-06,314.929993,318.899994,311.000000,311.540009,284.866302,452777
2014-02-07,311.510010,315.959991,311.500000,313.019989,286.219574,94926
2014-02-10,318.000000,340.380005,316.140015,338.839996,309.828918,315547
2014-02-11,340.149994,351.760010,338.839996,346.730011,317.043365,412648
2014-02-12,342.170013,352.010010,341.220001,341.859985,312.590332,278124
2014-02-13,340.559998,357.809998,340.559998,354.809998,324.431549,286245
