0,Open,High,Low,Close,Adj Close,Volume
2013-12-18,81.900002,82.900002,79.620003,80.260002,75.135002,1830174
2013-12-19,80.360001,81.000000,79.750000,80.000000,74.891602,825537
2013-12-20,80.000000,80.000000,77.800003,78.199997,73.206543,5147123
2013-12-23,78.639999,80.970001,78.400002,80.879997,75.715408,750387
2013-12-26,81.150002,81.489998,80.120003,80.959999,75.790298,719728
2013-12-27,81.400002,81.959999,80.900002,81.150002,75.968163,666827
2013-12-30,81.250000,81.730003,80.730003,80.970001,75.799667,1023247
2014-01-02,81.550003,81.989998,80.010002,80.150002,75.032028,592051
2014-01-03,80.250000,81.300003,79.550003,80.370003,75.237976,1235494
2014-01-06,80.269997,81.050003,78.059998,78.839996,73.805664,686578
2014-01-07,78.739998,80.110001,78.040001,78.989998,73.946098,717131
2014-01-08,78.599998,79.290001,76.800003,78.410004,73.403137,1613192
2014-01-09,78.389999,78.510002,77.400002,77.970001,72.991226,520166
2014-01-10,78.070000,79.599998,77.900002,79.180000,74.123970,1748183
2014-01-13,79.080002,79.080002,77.190002,78.180000,73.187813,912551
2014-01-14,78.570000,78.570000,76.699997,76.800003,71.895935,950750
2014-01-15,76.800003,77.400002,76.709999,77.010002,72.092529,1517278
2014-01-16,77.000000,77.050003,76.309998,76.550003,71.661903,622687
2014-01-17,76.449997,77.430000,75.510002,75.830002,70.987877,1029702
2014-01-20,75.809998,76.480003,75.010002,75.650002,70.819374,286238
2014-01-21,75.849998,77.220001,75.360001,75.730003,70.894272,1486906
2014-01-22,76.949997,76.949997,75.050003,75.919998,71.072128,835285
2014-01-23,75.029999,76.889999,73.550003,73.860001,69.143677,2468248
2014-01-24,73.959999,74.419998,73.010002,73.239998,68.563263,1462777
2014-01-27,73.300003,74.690002,72.000000,74.199997,69.461952,1158409
2014-01-28,73.830002,74.500000,72.300003,72.519997,67.889236,1141404
2014-01-29,72.879997,74.230003,72.000000,72.360001,67.739456,784935
2014-01-30,72.730003,73.730003,72.000000,72.910004,68.254341,752948
